name,logo,appid,type,steam_appid,is_free,supported_languages,developers,publishers,price_overview,original_price,discounted_price,platforms,genres,achievements,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
Phasmophobia,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/capsule_sm_120.jpg?t=1740090955,739630,game,739630,False,"English<strong>*</strong>, Portuguese - Portugal, Spanish - Spain, Portuguese - Brazil, German, French, Italian, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Romanian, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Catalan<br><strong>*</strong>languages with full audio support",['Kinetic Games'],['Kinetic Games'],"19,50€",,"19,50€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Indie', 'Early Access']",54.0,20,9,Overwhelmingly Positive,309610,12053,321663
Knights in Tight Spaces,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2315400/capsule_sm_120.jpg?t=1741092990,2315400,game,2315400,False,"English, French, German, Spanish - Spain, Japanese, Russian, Simplified Chinese",['Ground Shatter'],['Raw Fury'],"17,55€","19,50€","17,55€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Strategy']",36.0,20,8,Very Positive,57,9,66
Middle-earth™: Shadow of War™,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/356190/capsule_sm_120.jpg?t=1729788690,356190,game,356190,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Polish, Portuguese - Brazil<strong>*</strong>, Russian, Arabic, Korean, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Monolith Productions'],['WB Games'],"4,99€","49,99€","4,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",72.0,20,8,Very Positive,28407,3857,32264
SnowRunner,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1465360/capsule_sm_120.jpg?t=1739267949,1465360,game,1465360,False,"English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",['Saber Interactive'],['Focus Entertainment'],"14,99€","29,99€","14,99€","{'windows': True, 'mac': True, 'linux': False}","['Adventure', 'Simulation']",37.0,20,8,Very Positive,12384,1562,13946
Riders Republic,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2290180/capsule_sm_120.jpg?t=1736259065,2290180,game,2290180,False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean, Japanese<br><strong>*</strong>languages with full audio support","['Ubisoft Annecy', 'Ubisoft Belgrade', 'Ubisoft Kyiv', 'Ubisoft Pune', 'Ubisoft Odesa']",['Ubisoft Entertainment'],"7,99€","39,99€","7,99€","{'windows': True, 'mac': False, 'linux': False}","['Massively Multiplayer', 'Sports']",,20,8,Very Positive,3633,818,4451
STALCRAFT: X,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1818450/198b0c18dadfbc477a9ac0772fa8d17dbd2c6bd2/capsule_sm_120.jpg?t=1738267572,1818450,game,1818450,True,"English, Russian<strong>*</strong>, Spanish - Spain<br><strong>*</strong>languages with full audio support",['EXBO'],['EXBO'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Massively Multiplayer', 'RPG']",17.0,1,0,1 user reviews,1,0,1
FINAL FANTASY XIV Online,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/39210/2e45b2f419d0beed57ba1ff1d80a13d31f947d54/capsule_sm_120.jpg?t=1738089746,39210,game,39210,False,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Japanese<strong>*</strong><br><strong>*</strong>languages with full audio support",['Square Enix'],['Square Enix'],"9,99€",,"9,99€","{'windows': True, 'mac': False, 'linux': False}","['Massively Multiplayer', 'RPG']",,20,8,Very Positive,49844,6535,56379
Stardew Valley,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/413150/capsule_sm_120.jpg?t=1711128146,413150,game,413150,False,"English, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, French, Italian, Hungarian, Korean, Turkish",['ConcernedApe'],['ConcernedApe'],"13,99€",,"13,99€","{'windows': True, 'mac': True, 'linux': True}","['Indie', 'RPG', 'Simulation']",49.0,20,9,Overwhelmingly Positive,339363,3733,343096
GrandChase,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/985810/24c77d057be5a22772523678bee5d2edb12645ea/capsule_sm_120.jpg?t=1741155444,985810,game,985810,True,"English<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Korean<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['KOG'],['KOG'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Casual', 'Free To Play']",,0,0,No user reviews,0,0,0
Avowed,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2457220/4ebac678f596dd964e3a339a823b7e5df4567153/capsule_sm_120.jpg?t=1740094213,2457220,game,2457220,False,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America<br><strong>*</strong>languages with full audio support",['Obsidian Entertainment'],['Xbox Game Studios'],"69,99€",,"69,99€","{'windows': True, 'mac': False, 'linux': False}",['RPG'],50.0,20,6,Mostly Positive,4463,1201,5664
