name,logo,appid,type,steam_appid,is_free,supported_languages,developers,publishers,price_overview,original_price,discounted_price,platforms,genres,achievements,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
Monster Hunter Wilds,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/970508d58e4f11f6f9ff3e2921b7eec558a50af8/capsule_sm_120.jpg?t=1740728368,2246340,game,2246340,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Spanish - Latin America, Portuguese - Brazil<strong>*</strong>, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese, Japanese<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","69,99€",,"69,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",50.0,20.0,5.0,Mixed,15328.0,7216.0,22544.0
R.E.P.O.,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/68eff6f7de678798ac2adb040c8bb73025549c79/capsule_sm_120.jpg?t=1740578354,3241660,game,3241660,False,English<strong>*</strong><br><strong>*</strong>languages with full audio support,['semiwork'],['semiwork'],"7,80€","9,75€","7,80€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Early Access']",,20.0,9.0,Overwhelmingly Positive,2537.0,77.0,2614.0
Kingdom Come: Deliverance II,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1771300/93e28946c46f09d761bbfab1e17e8c1c4a8323a0/capsule_sm_120.jpg?t=1739812122,1771300,game,1771300,False,"English<strong>*</strong>, Italian, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Russian, Ukrainian<br><strong>*</strong>languages with full audio support",['Warhorse Studios'],['Deep Silver'],"59,99€",,"59,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",48.0,20.0,8.0,Very Positive,23902.0,2018.0,25920.0
EA SPORTS FC™ 25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2669320/62133559db3c4666ba5c1e55125093aa5f4d27fa/capsule_sm_120.jpg?t=1740132694,2669320,game,2669320,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Czech, Danish, Dutch<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Norwegian, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Portuguese - Portugal, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Swedish, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support","['EA Canada', 'EA Romania']",['Electronic Arts'],"20,99€","69,99€","20,99€","{'windows': True, 'mac': False, 'linux': False}","['Simulation', 'Sports']",39.0,20.0,5.0,Mixed,7381.0,8314.0,15695.0
Anno 1800,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/916440/capsule_sm_120.jpg?t=1739894341,916440,game,916440,False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Mainz'],['Ubisoft'],"5,99€","59,99€","5,99€","{'windows': True, 'mac': False, 'linux': False}","['Simulation', 'Strategy']",112.0,20.0,6.0,Mostly Positive,6467.0,1671.0,8138.0
Counter-Strike 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1729703045,730,game,730,True,"Czech, Danish, Dutch, English<strong>*</strong>, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],,,,"{'windows': True, 'mac': False, 'linux': True}","['Action', 'Free To Play']",1.0,20.0,8.0,Very Positive,1117491.0,175065.0,1292556.0
Sid Meier's Civilization VII,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1295660/56f256d5776521616d8842cd435f97b22de655cd/capsule_sm_120.jpg?t=1740780152,1295660,game,1295660,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support",['Firaxis Games'],['2K'],"69,99€",,"69,99€","{'windows': True, 'mac': True, 'linux': True}","['Simulation', 'Strategy']",37.0,20.0,5.0,Mixed,9252.0,7965.0,17217.0
Two Point Museum,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2185060/capsule_sm_120.jpg?t=1740739408,2185060,game,2185060,False,"English<strong>*</strong>, French, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese<strong>*</strong>, Traditional Chinese, Turkish, Polish<br><strong>*</strong>languages with full audio support",['Two Point Studios'],['SEGA'],"29,99€",,"29,99€","{'windows': True, 'mac': True, 'linux': True}","['Casual', 'Indie', 'Simulation', 'Strategy']",,20.0,8.0,Very Positive,276.0,2.0,278.0
Euro Truck Simulator 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227300/capsule_sm_120.jpg?t=1739871676,227300,game,227300,False,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",['SCS Software'],['SCS Software'],"4,99€","19,99€","4,99€","{'windows': True, 'mac': True, 'linux': True}","['Indie', 'Simulation']",98.0,20.0,9.0,Overwhelmingly Positive,120015.0,2953.0,122968.0
Star Wars Outlaws,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2842040/9e887b6e39c690a305e509e598a125cbc6b2bd1c/capsule_sm_120.jpg?t=1740164681,2842040,game,2842040,False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Massive Entertainment – A Ubisoft Studio'],['Ubisoft'],"34,99€","69,99€","34,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure']",53.0,20.0,6.0,Mostly Positive,1360.0,414.0,1774.0
