name,logo,appid,type,steam_appid,is_free,supported_languages,developers,publishers,price_overview,original_price,discounted_price,platforms,genres,achievements,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
Monster Hunter Wilds,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2246340/970508d58e4f11f6f9ff3e2921b7eec558a50af8/capsule_sm_120.jpg?t=1740977505,2246340,game,2246340,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Spanish - Latin America, Portuguese - Brazil<strong>*</strong>, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese, Japanese<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","69,99€",,"69,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",50.0,20,5,Mixed,21024,9175,30199
Counter-Strike 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1729703045,730,game,730,True,"Czech, Danish, Dutch, English<strong>*</strong>, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian<br><strong>*</strong>languages with full audio support",['Valve'],['Valve'],,,,"{'windows': True, 'mac': False, 'linux': True}","['Action', 'Free To Play']",1.0,20,8,Very Positive,1118060,175193,1293253
R.E.P.O.,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/68eff6f7de678798ac2adb040c8bb73025549c79/capsule_sm_120.jpg?t=1740578354,3241660,game,3241660,False,English<strong>*</strong><br><strong>*</strong>languages with full audio support,['semiwork'],['semiwork'],"7,80€","9,75€","7,80€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Early Access']",,20,9,Overwhelmingly Positive,3948,130,4078
PUBG: BATTLEGROUNDS,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/72361ae79b439e83e17445e5d9ab3fab7aba8a60/capsule_sm_120.jpg?t=1736389084,578080,game,578080,True,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian",['PUBG Corporation'],"['KRAFTON, Inc.']",,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']",37.0,20,5,Mixed,174577,101838,276415
Split Fiction,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2001120/1988bcdc421d71cbe4c8c07940967e7a0cd752be/capsule_sm_120.jpg?t=1738683638,2001120,game,2001120,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Simplified Chinese<strong>*</strong>, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Hazelight Studios'],['Electronic Arts'],"49,99€",,"49,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure']",,0,0,No user reviews,0,0,0
Kingdom Come: Deliverance II,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1771300/93e28946c46f09d761bbfab1e17e8c1c4a8323a0/capsule_sm_120.jpg?t=1739812122,1771300,game,1771300,False,"English<strong>*</strong>, Italian, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Russian, Ukrainian<br><strong>*</strong>languages with full audio support",['Warhorse Studios'],['Deep Silver'],"59,99€",,"59,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",48.0,20,8,Very Positive,24580,2074,26654
EA SPORTS FC™ 25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2669320/62133559db3c4666ba5c1e55125093aa5f4d27fa/capsule_sm_120.jpg?t=1740132694,2669320,game,2669320,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Czech, Danish, Dutch<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Norwegian, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Portuguese - Portugal, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Swedish, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support","['EA Canada', 'EA Romania']",['Electronic Arts'],"20,99€","69,99€","20,99€","{'windows': True, 'mac': False, 'linux': False}","['Simulation', 'Sports']",39.0,20,5,Mixed,7418,8351,15769
Two Point Museum,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2185060/capsule_sm_120.jpg?t=1740739408,2185060,game,2185060,False,"English<strong>*</strong>, French, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese<strong>*</strong>, Traditional Chinese, Turkish, Polish<br><strong>*</strong>languages with full audio support",['Two Point Studios'],['SEGA'],"29,99€",,"29,99€","{'windows': True, 'mac': True, 'linux': True}","['Casual', 'Indie', 'Simulation', 'Strategy']",,20,8,Very Positive,443,6,449
Apex Legends™,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/7d3e05f336b7be33086089dd968e45fb0867ea14/capsule_sm_120.jpg?t=1739870829,1172470,game,1172470,True,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese, Spanish - Latin America, Arabic<br><strong>*</strong>languages with full audio support",['Respawn'],['Electronic Arts'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Free To Play']",12.0,5,8,Very Positive,812,202,1014
Marvel Rivals,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/c984653538cfda1d1b195bd396b58936c2c65ae7/capsule_sm_120.jpg?t=1740477023,2767030,game,2767030,True,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Russian, Turkish, Thai, Simplified Chinese<strong>*</strong>, Traditional Chinese, Spanish - Latin America, Korean, Japanese<strong>*</strong>, Polish, Portuguese - Brazil, Arabic<br><strong>*</strong>languages with full audio support",['NetEase Games'],['NetEase Games'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Free To Play']",40.0,0,0,No user reviews,0,0,0
Anno 1800,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/916440/capsule_sm_120.jpg?t=1739894341,916440,game,916440,False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Polish, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft Mainz'],['Ubisoft'],"5,99€","59,99€","5,99€","{'windows': True, 'mac': False, 'linux': False}","['Simulation', 'Strategy']",112.0,20,6,Mostly Positive,6505,1691,8196
Tom Clancy's Rainbow Six® Siege,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359550/capsule_sm_120.jpg?t=1738608668,359550,game,359550,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Traditional Chinese, Simplified Chinese, Turkish, Thai<br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"3,99€","19,99€","3,99€","{'windows': True, 'mac': False, 'linux': False}",['Action'],,20,8,Very Positive,492495,88591,581086
Detroit: Become Human,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222140/capsule_sm_120.jpg?t=1667468479,1222140,game,1222140,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Czech, Danish, Finnish, Greek, Hungarian, Japanese<strong>*</strong>, Korean, Norwegian, Polish<strong>*</strong>, Portuguese - Portugal<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Swedish, Turkish, Dutch, Russian<strong>*</strong>, Traditional Chinese, Simplified Chinese<br><strong>*</strong>languages with full audio support",['Quantic Dream'],['Quantic Dream'],"11,99€","39,99€","11,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure']",48.0,20,8,Very Positive,33119,1971,35090
Warframe,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/8d788a31ea9c89b00bc031d8526f6ad55b6f3e30/capsule_sm_120.jpg?t=1740594560,230410,game,230410,True,"English<strong>*</strong>, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian, Thai<br><strong>*</strong>languages with full audio support",['Digital Extremes'],['Digital Extremes'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'RPG', 'Free To Play']",193.0,5,8,Very Positive,1002,136,1138
